Name,Forcefield,Lipid,Software,Files
Wu2014_-1_LINO,charmm36,"LINO - Linoleic acid - 18:2(9Z,12Z)",Charmm,"LINO.pdb,  LINO.str"
Wu2014_0_LINO,charmm36,"LINO - Linoleic acid - 18:2(9Z,12Z)",Charmm,"LINO.pdb,  LINO.str"
Wu2014_-1_HDTA,charmm36,"HDTA - 16:3(7Z,10Z,13Z)",Charmm,"HDTA.pdb,  HDTA.str"
Wu2014_0_HDTA,charmm36,"HDTA - 16:3(7Z,10Z,13Z)",Charmm,"HDTA.pdb,  HDTA.str"
Wu2014_-1_GLIN,charmm36,"GLIN - gamma-Linolenic acid - 18:3(6Z,9Z,12Z)",Charmm,"GLIN.pdb,  GLIN.str"
Wu2014_0_GLIN,charmm36,"GLIN - gamma-Linolenic acid - 18:3(6Z,9Z,12Z)",Charmm,"GLIN.pdb,  GLIN.str"
Wu2014_-1_ALIN,charmm36,"ALIN - alpha-Linolenic acid - 18:3(9Z,12Z,15Z)",Charmm,"ALIN.pdb,  ALIN.str"
Wu2014_0_ALIN,charmm36,"ALIN - alpha-Linolenic acid - 18:3(9Z,12Z,15Z)",Charmm,"ALIN.pdb,  ALIN.str"
Wu2014_-1_DGLA,charmm36,"DGLA - bishomo-gamma-linolenic acid - 20:3(8Z,11Z,14Z)",Charmm,"DGLA.pdb,  DGLA.str"
Wu2014_0_DGLA,charmm36,"DGLA - bishomo-gamma-linolenic acid - 20:3(8Z,11Z,14Z)",Charmm,"DGLA.pdb,  DGLA.str"
Wu2014_-1_ADRE,charmm36,"ADRE - Adrenic Acid - 22:4(7Z,10Z,13Z,16Z)",Charmm,"ADRE.pdb,  ADRE.str"
Wu2014_0_ADRE,charmm36,"ADRE - Adrenic Acid - 22:4(7Z,10Z,13Z,16Z)",Charmm,"ADRE.pdb,  ADRE.str"
Wu2014_-1_DCHA,charmm36,"DCHA - DHA - 22:6(4Z,7Z,10Z,13Z,16Z,19Z)",Charmm,"DCHA.pdb,  DCHA.str"
Wu2014_0_DCHA,charmm36,"DCHA - DHA - 22:6(4Z,7Z,10Z,13Z,16Z,19Z)",Charmm,"DCHA.pdb,  DCHA.str"
Wu2014_-1_STDA,charmm36,"STDA - Stearidonic acid - 18:4(6Z,9Z,12Z,15Z)",Charmm,"STDA.pdb,  STDA.str"
Wu2014_0_STDA,charmm36,"STDA - Stearidonic acid - 18:4(6Z,9Z,12Z,15Z)",Charmm,"STDA.pdb,  STDA.str"
Wu2014_-1_ECTE,charmm36,"ECTE - Bishomo-alpha-linolenic acid - 20:3(11Z,14Z,17Z)",Charmm,"ECTE.pdb,  ECTE.str"
Wu2014_0_ECTE,charmm36,"ECTE - Bishomo-alpha-linolenic acid - 20:3(11Z,14Z,17Z)",Charmm,"ECTE.pdb,  ECTE.str"
Wu2014_-1_MEAD,charmm36,"MEAD - ETrE(5Z, 8Z, 11Z) - 20:3(5Z, 8Z, 11Z)",Charmm,"MEAD.pdb,  MEAD.str"
Wu2014_0_MEAD,charmm36,"MEAD - ETrE(5Z, 8Z, 11Z) - 20:3(5Z, 8Z, 11Z)",Charmm,"MEAD.pdb,  MEAD.str"
